"id","profileName","text","date","title","rating","images","helpful","Style name"
"R30RYIBNSAA21M","Sankalp","Nothing special about it. Expected more from oneplus brand. Both spO2 and heartbeat sensors are inaccurate.Battery isnt 14days if you use it often. Still looking into it.A lot of pairing issues, not just with me but same issue with other users too.Couldn't expect a lot from a ₹2500 fitness bandGave the watch to my little brother for playing around. Not good enough to replace my gshock.Edited:Battery last 7 days in normal use.","Reviewed in India on 15 January 2021","In a nutshell, I won't recommend it but you decide for yourself",1,"","906","Smart Band"
"R2W0AVM9ZV0LDM","Sonia Mattas","Product is waste. Battery backup is worst. Not worthy","Reviewed in India on 15 January 2021","Issue with battery",1,"","590","Smart Band"
"R2PUN6AZGN9H7K","Vanshita Jindal","Comfortable to wear and looks good 👍🏻 connection to phone is really nice and displays notifications as soon as they comes on phone ✅","Reviewed in India on 15 January 2021","Convenient",5,"https://images-na.ssl-images-amazon.com/images/I/B1+SrVD980S.jpg
https://images-na.ssl-images-amazon.com/images/I/B1QDBLnNRYS.jpg
https://images-na.ssl-images-amazon.com/images/I/B1RpHiAiwpS.jpg
https://images-na.ssl-images-amazon.com/images/I/B1TBpVfPKGS.jpg","566","Smart Band"
"R2JRT4APHWZZG5","Manjunath M","Band looks Premium and the sense is good,I am using it from last 3 to 4 days,Pros:1. wrist up to wake is fast2. Display is super3. Both Spo2 and hear rate sensing is also good4. Its water proof5. Smooth Rubber and skin friendly6. 24/7 heart rate sensing7. Battery is now 54% for 4days.Cons :1. App is not good, should get more options, App should get updated as in Mi band.2. Battery backup will be 8 to 9 days with 24/7 heartsensing, if we disable the heart sensing 24/7, can expect up to 14 days.Other than this no issues...Will update after some daysThank youMANJUNATH M","Reviewed in India on 16 January 2021","First band from one plus is good but not Best",4,"","155","Smart Band"
"R1CXD23230IN1T","Hemant","This activity tracker does nothing. The heart rate monitor doesn't monitor your heart beat continuously. You have to swipe to heart beat option, then click on it for it to start recording the heart beat, and even after doing all this it will show you just one reading. After which you have to refresh by tapping for it to start recording again. And then it will show you just one reading again.What an absolute disgusting process.Fitbit and some others have heart beat continuous monitoring, so when you are running you can check your heart beat instantly and continuously. This one is pointless.I wish they had a return option, but they have only a replace option. This is a useless tracker. I strongly recommend something else (many are available) which continuously monitor and keep displaying heart beat)","Reviewed in India on 16 January 2021","Pointless heart rate monitoring. Utter nonsense.",1,"","83","Smart Band"
"R152BKJ7ONNF40","Soumya","This band is useless for those having iPhone. There is no app support in App Store. This has not been mentioned anywhere in the product page in Amazon site which is misleading. On top of this, the product is non returnable. OnePlus is selling this product by misleading customers.","Reviewed in India on 16 January 2021","Doesn’t work with iPhone",1,"","79","Smart Band"
"RWWRV4KRXCH57","Adrian Webb","Absolutely useless. Sleep tracker doesn't work properly. Heart rate tracker fails to record heart rate at key workout moments. Not intuitive in any way. I set it to walking and when I stopped to get a haircut it continued to record the activity even though I was sitting in a barbers chair for 30 minutes. Does not integrate with any other fitness app other than the atrocious OnePlus health and even then they frequently disagree in the stats they give. This really is a total waste of money. Avoid.","Reviewed in India on 16 January 2021","A total waste of money.... absolutely useless",1,"","75","Smart Band"
"R1U8CDMHZQV948","Prateek Mantri","Not at all happy with the band. Though SpO2 is an addon, but it lacks minimum required features.1. There's no way in which I can view the clock in 12 hour format.2. It's very difficult to attach and detach the watch from the charging cable.3. No feature to set alarm with the current updated software.4. The user interface of the mobile application is not at all intuitive5. Poor battery backup","Reviewed in India on 16 January 2021","Didn't meet my expectations",1,"","72","Smart Band"
"R5TZ58KSIZHVI","Abhijit Sengupta","Using this product since last 2 days : I think, MI band is more worthy to buy at this price range when it comes to accuracy and operabilty based on years of end user experience though being first in market, this product is good in case you want do experiment with your money !Highlights1) Nothing actually - All leading brands in current market are having similar features in same price rangeLow Lights1) Not Amoled2) Poor connectivity - miss notification oftenWill post more on its afficacy about battery and sweat/water proofing in coming days! Chao","Reviewed in India on 16 January 2021","May be not Worthy to BUY!",3,"https://images-na.ssl-images-amazon.com/images/I/A12Rq60MsvL.jpg","55","Smart Band"
"R2M69GH6Z7MAP3","TechBuff","Nowadays, people are provided misleading information left & right! E.g. not sure how so many people placed good reviews on this item, but let me clarify what this band is in reality.𝐖𝐡𝐲 𝐝𝐢𝐝 𝐈 𝐛𝐮𝐲?I didn't have time to do enough investigation/research. I blindly went with Amazon review & this band appeared to have gained enough positive vibes. So, in a rush - I purchased this looking at 2 specific aspects:- It has SP02- It was water resistant𝐏𝐫𝐨𝐬:- SP02 works (well, I couldn't verify count against any pulse oximeter, but against another mobile sensor based reading - this appears more or less ok)- It is kind of water resistant, so I am ok to wear it all dayBased on these 2 parameters - I am giving it 2 stars *𝐂𝐨𝐧𝐬:- Step counter is literally super intelligent! It creates its own count! Even if you don't move - it makes you feel happy by showing ever increasing steps! 😂- The actual watch comes out - from under the band. So, if you have any habit of taking your watch out frequently, beware - you may soon lose your watch.- Charger is again not that user friendly.- The app is not professional at all. It did connect easily, but keeps on disconnecting frequently (& then reconnects on its own).𝐂𝐨𝐧𝐜𝐥𝐮𝐬𝐢𝐨𝐧:- At this price point, I am not happy with the purchase!- I will advise to rather add a bit more to your budget & buy a smart watch (not band)- This is definitely NOT a fitness band (considering the erratic step counts)PS: If this review did help, please like it. 🙏","Reviewed in India on 7 May 2021","Shame on OnePlus",2,"","44","Smart Band"
